9606	1	ENSG00000121410	NM_130786.3	ENST00000263100	NP_570602.2	ENSP00000263100
9606	2	ENSG00000175899	NM_000014.4	ENST00000318602	NP_000005.2	ENSP00000323929
9606	9	ENSG00000171428	NM_000662.5	ENST00000307719	NP_000653.3	ENSP00000307218
9606	9	ENSG00000171428	NM_001160170.1	ENST00000539092	NP_001153642.1	ENSP00000440434
9606	9	ENSG00000171428	NM_001160171.1	ENST00000518029	NP_001153643.1	ENSP00000428270
9606	9	ENSG00000171428	NM_001160173.1	ENST00000541942	NP_001153645.1	ENSP00000440900
9606	9	ENSG00000171428	NM_001160174.1	ENST00000520546	NP_001153646.1	ENSP00000429341
9606	9	ENSG00000171428	NM_001160175.1	ENST00000545197	NP_001153647.1	ENSP00000443194
9606	9	ENSG00000171428	NM_001160179.1	ENST00000535084	NP_001153651.1	ENSP00000444609
9606	10	ENSG00000156006	NM_000015.2	ENST00000286479	NP_000006.2	ENSP00000286479
9606	12	ENSG00000196136	NM_001085.4	ENST00000393078	NP_001076.2	ENSP00000376793
9606	13	ENSG00000114771	NM_001086.2	ENST00000232892	NP_001077.2	ENSP00000232892
9606	14	ENSG00000127837	NM_001087.3	ENST00000248450	NP_001078.2	ENSP00000248450
9606	15	ENSG00000129673	NM_001088.2	ENST00000392492	NP_001079.1	ENSP00000376282
9606	15	ENSG00000129673	NM_001166579.1	ENST00000250615	NP_001160051.1	ENSP00000250615
9606	16	ENSG00000090861	NM_001605.2	ENST00000261772	NP_001596.2	ENSP00000261772
9606	18	ENSG00000183044	NM_000663.4	ENST00000396600	NP_000654.2	ENSP00000379845
9606	18	ENSG00000183044	NM_001127448.1	ENST00000425191	NP_001120920.1	ENSP00000411916
9606	18	ENSG00000183044	NM_020686.5	ENST00000268251	NP_065737.2	ENSP00000268251
9606	19	ENSG00000165029	NM_005502.3	ENST00000374736	NP_005493.2	ENSP00000363868
9606	20	ENSG00000107331	NM_001606.4	ENST00000341511	NP_001597.2	ENSP00000344155
9606	20	ENSG00000107331	NM_212533.2	ENST00000459850	NP_997698.1	ENSP00000420527
9606	21	ENSG00000167972	NM_001089.2	ENST00000301732	NP_001080.2	ENSP00000301732
